,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
1,2,201702090145,539877000.0,True,6.450520686485106e-07,6.251978561522264e-07,6.398754521796945e-07,6.251337936191703e-07,False,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,6,201702090321,539882640.0,True,9.476182754042384e-07,7.903665846242802e-07,7.961070309647766e-07,7.002174697845476e-07,False,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
4,10,201702090651,539895660.0,True,5.794486810373201e-07,5.297953293847968e-07,5.794486810373201e-07,5.214183147472795e-07,False,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
5,38,201702201412,540872760.0,True,5.146774242348329e-07,4.120626897474722e-07,4.1966399066950544e-07,3.5120467600791017e-07,False,False,False,False,False,False,C1.1,1.1091099e-06,2017-02-20T14:25:00.000,13.0,1.6234230315603781e-07,False
6,54,201702220133,541000320.0,True,6.772962137802097e-07,5.852357958247012e-07,5.982566335660522e-07,5.230163537817134e-07,False,False,False,False,False,False,C1.0,1.0009262e-06,2017-02-22T01:51:00.000,18.0,1.55456717720881e-07,False
7,56,201702221258,541040940.0,False,6.2601984609500505e-06,5.5656360018474516e-06,6.27383360551903e-06,6.049480361980386e-06,True,True,True,True,True,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07,True
8,69,201702232032,541154820.0,False,2.0107727323193103e-06,1.867127593868645e-06,1.885325445982744e-06,1.7758529793354683e-06,False,False,False,False,False,False,C2.0,2.0385078e-06,2017-02-23T20:53:00.000,21.0,1.4547784132901143e-07,False
9,70,201702240003,541167060.0,True,2.831590961704933e-07,2.2828146484243916e-07,2.3173964791567414e-07,1.952306547536864e-07,False,False,False,False,False,False,C1.6,1.6509745e-06,2017-02-24T00:12:00.000,9.0,1.1399695409863853e-07,False
10,91,201702272002,541498500.0,True,8.670043030178931e-07,6.892667556712695e-07,7.087637641234323e-07,5.807535785606888e-07,False,False,False,False,False,False,C1.4,1.400656e-06,2017-02-27T20:17:00.000,15.0,1.0835245944917915e-07,False
11,101,201702281135,541554720.0,True,8.260783488367451e-07,7.73103977280698e-07,7.77702780396794e-07,7.4535608973747e-07,False,False,False,False,False,False,C1.1,1.1513322e-06,2017-02-28T11:51:00.000,16.0,8.415181440568631e-08,False
13,165,201703271103,543885000.0,False,2.191528665207443e-06,1.6007793419703376e-06,1.6047373492256156e-06,1.2907971722597722e-06,False,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
15,172,201703271700,543906360.0,False,2.4330136056960328e-06,1.7158662330984953e-06,1.8168744873037213e-06,1.2488163747548242e-06,False,False,False,False,False,False,C2.5,2.5515815e-06,2017-03-27T17:12:00.000,12.0,4.208544055472885e-07,False
17,175,201703271809,543910440.0,False,6.0282263802946545e-06,3.6088888464291813e-06,3.6924657251802273e-06,2.3182674340205267e-06,False,True,False,False,False,True,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07,False
18,178,201703272033,543919380.0,False,1.042571170728479e-06,8.947431524575222e-07,9.007549692796601e-07,8.05796162239858e-07,False,False,False,False,False,False,C1.2,1.2573813e-06,2017-03-27T20:46:00.000,13.0,3.931476442176063e-07,False
19,181,201703272213,543925320.0,False,1.2201401204947615e-06,1.1401569963709335e-06,1.1448876193753676e-06,1.083907932297734e-06,False,False,False,False,False,False,C1.2,1.2869881e-06,2017-03-27T22:26:00.000,13.0,6.263064733502688e-07,False
20,183,201703280016,543932640.0,False,1.3542286296797101e-06,1.2226331591591588e-06,1.2484534863688168e-06,1.1303774272164446e-06,False,False,False,False,False,False,C1.7,1.7365903e-06,2017-03-28T00:27:00.000,11.0,5.965424634268857e-07,False
21,184,201703280049,543933420.0,True,9.148565709438117e-07,8.824553674458002e-07,1.2102887012588326e-06,9.611277391741169e-07,False,False,False,False,False,False,C1.3,1.3515538e-06,2017-03-28T00:53:00.000,4.0,8.537847406842047e-07,False
22,187,201703280313,543943260.0,False,6.332749649118341e-07,4.887324394076131e-07,4.765437040532561e-07,4.3330763332960487e-07,False,False,False,False,False,False,C4.7,4.7928793e-06,2017-03-28T03:23:00.000,10.0,4.0248244204121875e-07,False
23,188,201703280348,543945360.0,True,8.402701610066288e-07,6.977771249694342e-07,7.152494845286128e-07,5.969336029920669e-07,False,False,False,False,False,False,B9.5,9.576478e-07,2017-03-28T03:57:00.000,9.0,2.9394067269095103e-07,False
24,189,201703280445,543948720.0,False,3.7701472592743812e-06,2.5847891720331972e-06,2.7194164431421086e-06,1.8421090999254375e-06,False,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07,False
25,190,201703280709,543957480.0,True,7.548323424089176e-07,6.139123343018582e-07,7.548323424089176e-07,6.339250830933452e-07,False,False,False,False,False,False,C1.6,1.6617503e-06,2017-03-28T07:19:00.000,10.0,2.048262075504681e-07,False
26,192,201703280853,543964140.0,True,7.411948104163457e-07,6.386244422174059e-07,6.571609674210777e-07,5.609938966699701e-07,False,False,False,False,False,False,C1.0,1.0848381e-06,2017-03-28T09:10:00.000,17.0,2.8368694415803475e-07,False
28,194,201703280955,543967080.0,False,9.559723821439547e-07,8.212041961996874e-07,8.316268917951675e-07,7.286021173058543e-07,False,False,False,False,False,False,C1.6,1.6813545e-06,2017-03-28T10:01:00.000,6.0,3.321555936963705e-07,False
29,213,201703292314,544102260.0,True,8.763150844970369e-07,8.173225864993583e-07,8.353424618690042e-07,7.697135515627451e-07,False,False,False,False,False,False,C1.0,1.0085395e-06,2017-03-29T23:32:00.000,18.0,2.330881443413091e-07,False
30,234,201703311716,544253520.0,False,2.516238737371168e-06,2.2163992525747744e-06,2.29511010729766e-06,1.963845761565608e-06,False,False,False,False,False,False,C2.7,2.72192e-06,2017-03-31T17:37:00.000,21.0,1.9392500405501778e-07,False
31,238,201703312253,544273080.0,False,1.527405288470618e-06,1.3194495522839134e-06,1.3371884506341303e-06,1.1861322946060682e-06,False,False,False,False,False,False,C1.8,1.8190101e-06,2017-03-31T23:01:00.000,8.0,4.022513167001307e-07,False
33,242,201704010412,544292040.0,True,6.050549927749671e-07,5.368084998735867e-07,5.450089020087034e-07,4.964446702615533e-07,False,False,False,False,False,False,B9.4,9.4043804e-07,2017-04-01T04:15:00.000,3.0,2.9272206347741303e-07,False
35,245,201704011030,544314840.0,False,5.166394316802325e-07,4.940302460454404e-07,5.208742663853627e-07,5.035753360971285e-07,False,False,False,False,False,False,C1.4,1.4918089e-06,2017-04-01T10:35:00.000,5.0,3.447512142429332e-07,False
36,247,201704011528,544332900.0,False,1.3864901120541617e-06,1.3702898513656692e-06,1.3880317055736668e-06,1.3808991070618504e-06,False,False,False,False,False,False,C1.2,1.2506694e-06,2017-04-01T15:47:00.000,19.0,6.1388630001602e-07,False
37,248,201704011807,544342140.0,True,8.309373811243859e-07,7.532273684773827e-07,8.075344908320403e-07,7.463943347829627e-07,False,False,False,False,False,False,C1.1,1.1430501e-06,2017-04-01T18:10:00.000,3.0,6.85380371123756e-07,False
38,249,201704011921,544347120.0,False,4.0207287383964285e-06,3.3310186609014636e-06,4.546911895886296e-06,3.914525677828351e-06,False,False,False,False,False,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07,True
39,250,201704012052,544351140.0,True,8.896035410543846e-07,8.389634444938565e-07,8.415031516051386e-07,8.189040840989037e-07,False,False,False,False,False,False,C1.0,1.039342e-06,2017-04-01T20:59:00.000,7.0,6.86365808633127e-07,False
40,251,201704012131,544353960.0,True,2.1919943264947506e-06,1.5702293012509472e-06,4.091101800440811e-06,2.2874244223203277e-06,False,False,False,False,False,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
41,252,201704012259,544358700.0,True,1.329215706391551e-06,1.2732203913401463e-06,1.3393389508564724e-06,1.2521458074843395e-06,False,False,False,False,False,True,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06,False
42,253,201704012347,544362780.0,True,7.963965344970347e-07,7.466280180778995e-07,7.963965344970347e-07,7.621532063240011e-07,False,False,False,False,False,False,C1.3,1.3502831e-06,2017-04-01T23:54:00.000,7.0,6.298337780208385e-07,False
43,255,201704020202,544370880.0,False,6.599988182642846e-07,6.407969408428471e-07,6.986957714616437e-07,6.485523158517026e-07,False,False,False,False,False,False,C1.5,1.5931446e-06,2017-04-02T02:10:00.000,8.0,6.740553430972795e-07,False
44,256,201704020220,544370880.0,False,6.599988182642846e-07,6.407969408428471e-07,6.986957714616437e-07,6.485523158517026e-07,False,False,False,False,False,False,B8.2,8.2368103e-07,2017-04-02T02:27:00.000,7.0,5.504538762579614e-07,False
45,257,201704020233,544373040.0,False,2.4938119622675003e-06,2.2492315565614263e-06,2.5123940758930985e-06,2.4248538466054015e-06,False,False,False,False,False,True,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07,False
46,258,201704020251,544373040.0,False,2.4938119622675003e-06,2.2492315565614263e-06,2.5123940758930985e-06,2.4248538466054015e-06,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06,False
47,259,201704020452,544379940.0,False,1.359939915346331e-06,1.2959235391463153e-06,1.359939915346331e-06,1.305056684941519e-06,False,False,False,False,False,False,C1.8,1.8476582e-06,2017-04-02T04:58:00.000,6.0,1.156215944320138e-06,False
48,260,201704020733,544389540.0,True,1.44719263062143e-06,1.382542563987954e-06,1.44719263062143e-06,1.3633781463795458e-06,False,False,False,False,False,False,C1.7,1.7441325e-06,2017-04-02T07:38:00.000,5.0,1.2170282843726454e-06,False
49,261,201704020742,544390080.0,True,1.8198342104369658e-06,1.7108231986640021e-06,1.8198342104369658e-06,1.6714056982891634e-06,False,False,False,False,False,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
50,262,201704021040,544400760.0,True,1.3730723367189057e-06,1.338401830253133e-06,1.3730723367189057e-06,1.3303691730470746e-06,False,False,False,False,False,False,C1.7,1.7494887e-06,2017-04-02T10:46:00.000,6.0,1.1926986189791933e-06,False
51,263,201704021050,544401360.0,True,1.8418776335238363e-06,1.742420977279835e-06,1.8418776335238363e-06,1.7230128150913515e-06,False,False,False,False,False,False,C2.7,2.761983e-06,2017-04-02T11:03:00.000,13.0,1.5654910612283857e-06,False
52,264,201704021250,544408800.0,False,1.0720405043684877e-06,1.0582010645521223e-06,1.694819161457417e-06,1.1762318763430812e-06,False,False,False,False,False,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
53,265,201704021455,544416060.0,False,4.216656179778511e-06,4.060816991113825e-06,4.257669843354961e-06,4.180899850325659e-06,False,False,False,False,False,True,C6.5,6.5182544e-06,2017-04-02T15:08:00.000,13.0,4.160148364462657e-06,True
54,266,201704021617,544421040.0,True,1.9366020751476754e-06,1.9259284727013437e-06,2.11914175451966e-06,1.9591075215430465e-06,False,False,False,False,False,False,C4.8,4.805452e-06,2017-04-02T16:27:00.000,10.0,1.7734854509399156e-06,False
55,267,201704021814,544428000.0,True,2.0489367216214305e-06,1.9763799627980916e-06,2.1033217763033463e-06,2.042458845608053e-06,False,False,False,False,False,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06,True
